"Work_Geo_Short" "Res_Geo_Short" "Year" "Total" "Drove.alone" "X2.person.carpool" "X3.person.carpool" "X4.person.carpool" "X5.or.6.person.carpool" "X7.or.more.person.carpool" "Bus" "Streetcar.or.trolley" "Subway" "Railroad" "Ferry" "Bicycle" "Walked" "Taxi" "Motorcycle" "Other" "Worked.at.home" "Source" "src" "dst"
"Alameda" "Alameda" 2016 467980 304545 31525 7000 2700 760 425 18495 190 12935 1035 30 13650 25230 315 1415 3840 43890 "CTPP_A302103_5YR_2016" 1 1
"Alameda" "Fresno" 2016 235 160 25 0 4 0 0 25 0 0 0 0 0 0 0 0 20 0 "CTPP_A302103_5YR_2016" 10 1
"Alameda" "Merced" 2016 1005 710 180 10 20 10 15 4 0 0 30 0 0 10 0 0 15 0 "CTPP_A302103_5YR_2016" 24 1
"Alameda" "Orange" 2016 435 255 0 50 0 0 0 0 0 0 0 0 0 10 0 0 115 0 "CTPP_A302103_5YR_2016" 30 1
"Alameda" "Madera" 2016 45 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 20 1
"Alameda" "San Diego" 2016 220 85 25 0 0 0 0 4 0 0 0 0 10 0 0 0 100 0 "CTPP_A302103_5YR_2016" 37 1
"Alameda" "Glenn" 2016 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 11 1
"Alameda" "Sonoma" 2016 2320 1955 150 25 10 10 30 35 0 15 0 0 0 20 0 10 60 0 "CTPP_A302103_5YR_2016" 49 1
"Alameda" "Ventura" 2016 55 35 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 56 1
"Alameda" "San Joaquin" 2016 27645 20770 3970 1040 325 205 220 255 0 30 475 0 15 20 0 200 120 0 "CTPP_A302103_5YR_2016" 39 1
"Alameda" "San Luis Obispo" 2016 80 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 40 1
"Alameda" "Colusa" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 6 1
"Alameda" "Riverside" 2016 125 60 4 4 0 10 0 0 0 0 0 0 0 0 0 0 45 0 "CTPP_A302103_5YR_2016" 33 1
"Alameda" "Sutter" 2016 175 120 50 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 "CTPP_A302103_5YR_2016" 51 1
"Alameda" "Santa Clara" 2016 38120 32615 3455 570 295 110 45 200 15 215 125 0 35 30 25 145 240 0 "CTPP_A302103_5YR_2016" 43 1
"Alameda" "Contra Costa" 2016 101605 77230 9270 2135 585 395 40 1440 90 8335 455 0 620 185 10 280 530 0 "CTPP_A302103_5YR_2016" 7 1
"Alameda" "Humboldt" 2016 40 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 "CTPP_A302103_5YR_2016" 12 1
"Alameda" "San Mateo" 2016 12940 10050 810 215 80 35 60 175 25 1210 105 0 25 20 15 15 95 0 "CTPP_A302103_5YR_2016" 41 1
"Alameda" "San Bernardino" 2016 280 155 15 0 0 0 0 25 0 0 0 0 10 75 0 0 0 0 "CTPP_A302103_5YR_2016" 36 1
"Alameda" "Lassen" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 18 1
"Alameda" "Nevada" 2016 115 115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 29 1
"Alameda" "Trinity" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 53 1
"Alameda" "San Benito" 2016 265 220 15 15 0 0 20 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 35 1
"Alameda" "Los Angeles" 2016 935 555 15 0 0 15 0 80 0 0 15 0 0 60 0 0 195 0 "CTPP_A302103_5YR_2016" 19 1
"Alameda" "Butte" 2016 115 55 15 30 0 0 0 0 0 0 15 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 4 1
