"V1" "V2"
37.6471385 -121.912488
38.6217831 -119.7983522
38.4435501 -120.6538563
39.6659588 -121.6019188
38.1838996 -120.5614415
39.1777385 -122.2375629
37.919479 -121.9515431
41.7499033 -123.9809983
38.785532 -120.5343981
36.7610058 -119.6550193
39.6025462 -122.4016998
40.7066731 -123.9258181
33.0408143 -115.3554001
36.561977 -117.4039269
35.3466288 -118.7295064
36.072478 -119.8155301
39.0948019 -122.7467569
40.7210862 -120.6299518
34.1963983 -118.2618616
37.2098213 -119.7498023
38.0518169 -122.7459738
37.5700335 -119.9128599
39.4323876 -123.4428811
37.1948063 -120.7228019
41.5929185 -120.7183704
37.9158363 -118.8751668
36.240107 -121.3155723
38.5070999 -122.3259045
39.2975082 -120.7713429
33.6756872 -117.7772068
39.0620323 -120.7227181
39.9922953 -120.8243709
33.7298275 -116.0022389
38.4500114 -121.3404409
36.6107024 -121.085296
34.8572198 -116.1811967
33.0236041 -116.7761174
37.7272391 -123.0322294
37.9349815 -121.272244
35.3852242 -120.4475445
37.4146633 -122.3715451
34.5370572 -120.0399729
37.2207774 -121.6906224
37.0124883 -122.007205
40.7605142 -122.0435556
39.5769252 -120.5219926
41.5879861 -122.5332868
38.2672255 -121.939594
38.5251824 -122.9261095
37.5623162 -121.0028311
39.0361898 -121.7039397
40.1261561 -122.2322757
40.6477241 -123.1144043
36.2288241 -118.781061
38.0214344 -119.9647335
34.3587415 -119.1331432
38.6795954 -121.9024412
39.2662469 -121.3407809
